Rank,Feature,Avg Rank,RF,GB,Perm,MI,F-Score,LR
1,Feature_254,3.00,3,3,1,6,7,3
2,Feature_190,6.00,2,1,7,9,8,5
3,Feature_264,6.00,6,6,2,14,6,4
4,Feature_389,6.50,4,9,270,73,1,1
5,Feature_159,10.00,1,5,15,5,153,224
6,Feature_10,13.00,12,14,474,1,4,415
7,Feature_341,13.50,8,7,4,19,194,256
8,Feature_308,15.00,17,13,440,62,5,2
9,Feature_379,15.50,9,4,22,8,258,236
10,Feature_463,23.00,33,15,476,30,16,6
11,Feature_468,23.50,78,32,3,377,15,7
12,Feature_223,28.00,7,20,479,36,2,401
13,Feature_376,29.50,28,51,427,21,31,22
14,Feature_214,30.50,5,2,5,56,434,469
15,Feature_5,39.50,42,430,37,115,17,19
16,Feature_261,42.50,15,12,24,61,102,147
17,Feature_236,52.00,54,43,84,428,45,50
18,Feature_4,55.00,74,376,36,7,14,409
19,Feature_212,55.50,53,52,423,196,58,36
20,Feature_54,55.50,84,19,426,139,27,20
